;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
Aviozek(1187);0;57.4;21;17.cze.22;;1187;Lose;57.4;21;17.06.2022;;Aviozek;Lose;57.4;21;17.06.2022;;Aviozek;1187;Lose;57.4;21;17.06.2022;;;Aviozek;ali_ssh;;;;;;;1187;;;;;1140;987;;
ali_ssh(1264);1;66.5;;;;1264;Win;66.5;;;;ali_ssh;Win;66.5;;;;ali_ssh;1264;Win;66.5;;;;;;;;;21;;17.06.2022;;;1264;;;;1131;1117;;
SIGMA_MALEQ(1108);0;71.4;72;17.cze.22;;1108;Lose;71.4;72;17.06.2022;;SIGMA_MALEQ;Lose;71.4;72;17.06.2022;;SIGMA_MALEQ;1108;Lose;71.4;72;17.06.2022;;;SIGMA_MALEQ;Aviozek;;;;;;;;1108;;;;1140;1074;;
Aviozek(1194);1;75.8;;;;1194;Win;75.8;;;;Aviozek;Win;75.8;;;;Aviozek;1194;Win;75.8;;;;;;;;;72;;17.06.2022;;1194;;;;;1133;1141;;
adi4557(1236);1;81.8;26;16.cze.22;;1236;Win;81.8;26;16.06.2022;;adi4557;Win;81.8;26;16.06.2022;;adi4557;1236;Win;81.8;26;16.06.2022;;;adi4557;Aviozek;;;;;;;;1236;;;;1141;1062;;
Aviozek(1188);0;67.9;;;;1188;Lose;67.9;;;;Aviozek;Lose;67.9;;;;Aviozek;1188;Lose;67.9;;;;;;;;;26;;16.06.2022;;1188;;;;;1135;1110;;
Aviozek(1195);1;81.1;19;16.cze.22;;1195;Win;81.1;19;16.06.2022;;Aviozek;Win;81.1;19;16.06.2022;;Aviozek;1195;Win;81.1;19;16.06.2022;;;Aviozek;Smurf54279;;;;;;;1195;;;;;1127;1164;;
Smurf54279(1096);0;71.1;;;;1096;Lose;71.1;;;;Smurf54279;Lose;71.1;;;;Smurf54279;1096;Lose;71.1;;;;;;;;;19;;16.06.2022;;;1096;;;;1118;1107;;
Aviozek(1189);1;86.5;23;16.cze.22;;1189;Win;86.5;23;16.06.2022;;Aviozek;Win;86.5;23;16.06.2022;;Aviozek;1189;Win;86.5;23;16.06.2022;;;Aviozek;Chahatschahat;;;;;;;1189;;;;;1127;1087;;
Chahatschahat(1090);0;68.4;;;;1090;Lose;68.4;;;;Chahatschahat;Lose;68.4;;;;Chahatschahat;1090;Lose;68.4;;;;;;;;;23;;16.06.2022;;;1090;;;;1136;1125;;
